wavelength_nm,qe
1.210000000000000000e+03,9.981354842078584699e-01
1.211000000000000000e+03,9.980252913703929751e-01
1.212000000000000000e+03,9.979150985329273693e-01
1.213000000000000000e+03,9.978049056954617635e-01
1.214000000000000000e+03,9.976947128579962687e-01
1.215000000000000000e+03,9.975845200205306629e-01
1.216000000000000000e+03,9.974743271830650571e-01
1.217000000000000000e+03,9.973641343455995623e-01
1.218000000000000000e+03,9.972539415081339564e-01
1.219000000000000000e+03,9.971437486706683506e-01
1.220000000000000000e+03,9.970335558332028558e-01
1.221000000000000000e+03,9.969233629957372500e-01
1.222000000000000000e+03,9.968131701582716442e-01
1.223000000000000000e+03,9.967029773208061494e-01
1.224000000000000000e+03,9.965927844833405436e-01
1.225000000000000000e+03,9.964825916458749377e-01
1.226000000000000000e+03,9.963723988084094429e-01
1.227000000000000000e+03,9.962622059709438371e-01
1.228000000000000000e+03,9.961520131334782313e-01
1.229000000000000000e+03,9.960418202960127365e-01
1.230000000000000000e+03,9.959316274585471307e-01
1.231000000000000000e+03,9.958214346210815249e-01
1.232000000000000000e+03,9.957112417836160301e-01
1.233000000000000000e+03,9.956950159774520248e-01
1.234000000000000000e+03,9.957271555550460951e-01
1.235000000000000000e+03,9.957592951326402764e-01
1.236000000000000000e+03,9.957914347102343466e-01
1.237000000000000000e+03,9.958235742878285279e-01
1.238000000000000000e+03,9.958557138654225982e-01
1.239000000000000000e+03,9.958878534430167795e-01
1.240000000000000000e+03,9.959199930206108498e-01
1.241000000000000000e+03,9.959521325982050310e-01
1.242000000000000000e+03,9.959842721757991013e-01
1.243000000000000000e+03,9.960164117533932826e-01
1.244000000000000000e+03,9.960485513309873529e-01
1.245000000000000000e+03,9.960806909085815342e-01
1.246000000000000000e+03,9.961128304861756044e-01
1.247000000000000000e+03,9.961449700637697857e-01
1.248000000000000000e+03,9.961771096413638560e-01
1.249000000000000000e+03,9.962092492189580373e-01
1.250000000000000000e+03,9.962413887965521075e-01
1.251000000000000000e+03,9.962735283741462888e-01
1.252000000000000000e+03,9.963056679517403591e-01
1.253000000000000000e+03,9.963378075293345404e-01
1.254000000000000000e+03,9.963699471069286107e-01
1.255000000000000000e+03,9.964020866845227919e-01
1.256000000000000000e+03,9.964342262621168622e-01
1.257000000000000000e+03,9.964663658397109325e-01
1.258000000000000000e+03,9.965180871888728031e-01
1.259000000000000000e+03,9.965731836076054950e-01
1.260000000000000000e+03,9.966282800263382979e-01
1.261000000000000000e+03,9.966833764450711008e-01
1.262000000000000000e+03,9.967384728638039038e-01
1.263000000000000000e+03,9.967935692825367067e-01
1.264000000000000000e+03,9.968486657012695096e-01
1.265000000000000000e+03,9.969037621200022015e-01
1.266000000000000000e+03,9.969588585387350044e-01
1.267000000000000000e+03,9.970139549574678073e-01
1.268000000000000000e+03,9.970690513762006102e-01
1.269000000000000000e+03,9.971241477949334131e-01
1.270000000000000000e+03,9.971792442136662160e-01
1.271000000000000000e+03,9.972343406323989079e-01
1.272000000000000000e+03,9.972894370511317108e-01
1.273000000000000000e+03,9.973445334698645137e-01
1.274000000000000000e+03,9.973996298885973166e-01
1.275000000000000000e+03,9.974547263073301195e-01
1.276000000000000000e+03,9.975098227260628114e-01
1.277000000000000000e+03,9.975649191447956143e-01
1.278000000000000000e+03,9.976200155635284172e-01
1.279000000000000000e+03,9.976751119822612202e-01
1.280000000000000000e+03,9.977302084009940231e-01
1.281000000000000000e+03,9.977853048197268260e-01
1.282000000000000000e+03,9.978322055506522181e-01
1.283000000000000000e+03,9.977082386085034393e-01
1.284000000000000000e+03,9.975842716663546605e-01
1.285000000000000000e+03,9.974603047242058818e-01
1.286000000000000000e+03,9.973363377820572140e-01
1.287000000000000000e+03,9.972123708399084352e-01
1.288000000000000000e+03,9.970884038977596564e-01
1.289000000000000000e+03,9.969644369556108776e-01
1.290000000000000000e+03,9.968404700134620988e-01
1.291000000000000000e+03,9.967165030713133200e-01
1.292000000000000000e+03,9.965925361291645412e-01
1.293000000000000000e+03,9.964685691870158735e-01
1.294000000000000000e+03,9.963446022448670947e-01
1.295000000000000000e+03,9.962206353027183159e-01
1.296000000000000000e+03,9.960966683605695371e-01
1.297000000000000000e+03,9.959727014184207583e-01
1.298000000000000000e+03,9.958487344762719795e-01
1.299000000000000000e+03,9.957247675341232007e-01
1.300000000000000000e+03,9.956008005919745329e-01
1.301000000000000000e+03,9.954768336498257542e-01
1.302000000000000000e+03,9.953528667076769754e-01
1.303000000000000000e+03,9.952288997655281966e-01
1.304000000000000000e+03,9.951049328233794178e-01
1.305000000000000000e+03,9.949809658812306390e-01
1.306000000000000000e+03,9.948569989390819712e-01
1.307000000000000000e+03,9.947396038305129640e-01
1.308000000000000000e+03,9.946431850977305311e-01
1.309000000000000000e+03,9.945467663649482093e-01
1.310000000000000000e+03,9.944503476321657764e-01
1.311000000000000000e+03,9.943539288993834546e-01
1.312000000000000000e+03,9.942575101666011328e-01
1.313000000000000000e+03,9.941610914338186999e-01
1.314000000000000000e+03,9.940646727010363781e-01
1.315000000000000000e+03,9.939682539682539453e-01
1.316000000000000000e+03,9.938718352354716234e-01
1.317000000000000000e+03,9.937754165026893016e-01
1.318000000000000000e+03,9.936789977699068688e-01
1.319000000000000000e+03,9.935825790371245470e-01
1.320000000000000000e+03,9.934861603043421141e-01
1.321000000000000000e+03,9.933897415715597923e-01
1.322000000000000000e+03,9.932933228387773594e-01
1.323000000000000000e+03,9.931969041059950376e-01
1.324000000000000000e+03,9.931004853732127158e-01
1.325000000000000000e+03,9.930040666404302829e-01
1.326000000000000000e+03,9.929076479076479611e-01
1.327000000000000000e+03,9.928112291748655283e-01
1.328000000000000000e+03,9.927148104420832064e-01
1.329000000000000000e+03,9.926183917093007736e-01
1.330000000000000000e+03,9.925219729765184518e-01
1.331000000000000000e+03,9.924255542437361299e-01
1.332000000000000000e+03,9.922895262039127529e-01
1.333000000000000000e+03,9.921012801065758335e-01
1.334000000000000000e+03,9.919130340092388032e-01
1.335000000000000000e+03,9.917247879119017728e-01
1.336000000000000000e+03,9.915365418145647425e-01
1.337000000000000000e+03,9.913482957172278232e-01
1.338000000000000000e+03,9.911600496198907928e-01
1.339000000000000000e+03,9.909718035225537625e-01
1.340000000000000000e+03,9.907835574252167321e-01
1.341000000000000000e+03,9.905953113278797018e-01
1.342000000000000000e+03,9.904070652305427824e-01
1.343000000000000000e+03,9.902188191332057521e-01
1.344000000000000000e+03,9.900305730358687217e-01
1.345000000000000000e+03,9.898423269385316914e-01
1.346000000000000000e+03,9.896540808411947721e-01
1.347000000000000000e+03,9.894658347438577417e-01
1.348000000000000000e+03,9.892775886465207114e-01
1.349000000000000000e+03,9.890893425491836810e-01
1.350000000000000000e+03,9.889010964518467617e-01
1.351000000000000000e+03,9.887128503545097313e-01
1.352000000000000000e+03,9.885246042571727010e-01
1.353000000000000000e+03,9.883363581598356706e-01
1.354000000000000000e+03,9.881481120624986403e-01
1.355000000000000000e+03,9.879598659651617210e-01
1.356000000000000000e+03,9.877716198678246906e-01
1.357000000000000000e+03,9.874687487661892860e-01
1.358000000000000000e+03,9.870968479397429496e-01
1.359000000000000000e+03,9.867249471132966132e-01
1.360000000000000000e+03,9.863530462868503879e-01
1.361000000000000000e+03,9.859811454604040515e-01
1.362000000000000000e+03,9.856092446339578261e-01
1.363000000000000000e+03,9.852373438075114898e-01
1.364000000000000000e+03,9.848654429810652644e-01
1.365000000000000000e+03,9.844935421546189280e-01
1.366000000000000000e+03,9.841216413281727027e-01
1.367000000000000000e+03,9.837497405017263663e-01
1.368000000000000000e+03,9.833778396752801410e-01
1.369000000000000000e+03,9.830059388488338046e-01
1.370000000000000000e+03,9.826340380223875792e-01
1.371000000000000000e+03,9.822621371959412429e-01
1.372000000000000000e+03,9.818902363694950175e-01
1.373000000000000000e+03,9.815183355430486811e-01
1.374000000000000000e+03,9.811464347166024558e-01
1.375000000000000000e+03,9.807745338901561194e-01
1.376000000000000000e+03,9.804026330637098940e-01
1.377000000000000000e+03,9.800307322372635577e-01
1.378000000000000000e+03,9.796588314108172213e-01
1.379000000000000000e+03,9.792869305843709959e-01
1.380000000000000000e+03,9.789150297579246596e-01
1.381000000000000000e+03,9.785431289314784342e-01
1.382000000000000000e+03,9.783362626389987549e-01
1.383000000000000000e+03,9.781663820145726218e-01
1.384000000000000000e+03,9.779965013901465998e-01
1.385000000000000000e+03,9.778266207657204667e-01
1.386000000000000000e+03,9.776567401412944447e-01
1.387000000000000000e+03,9.774868595168683116e-01
1.388000000000000000e+03,9.773169788924422896e-01
1.389000000000000000e+03,9.771470982680161566e-01
1.390000000000000000e+03,9.769772176435901345e-01
1.391000000000000000e+03,9.768073370191640015e-01
1.392000000000000000e+03,9.766374563947379794e-01
1.393000000000000000e+03,9.764675757703118464e-01
1.394000000000000000e+03,9.762976951458858244e-01
1.395000000000000000e+03,9.761278145214596913e-01
1.396000000000000000e+03,9.759579338970336693e-01
1.397000000000000000e+03,9.757880532726075362e-01
1.398000000000000000e+03,9.756181726481815142e-01
1.399000000000000000e+03,9.754482920237553811e-01
1.400000000000000000e+03,9.752784113993293591e-01
1.401000000000000000e+03,9.751085307749032260e-01
1.402000000000000000e+03,9.749386501504772040e-01
1.403000000000000000e+03,9.747687695260510710e-01
1.404000000000000000e+03,9.745988889016250489e-01
1.405000000000000000e+03,9.744290082771989159e-01
1.406000000000000000e+03,9.742592613819445191e-01
1.407000000000000000e+03,9.741031548622016700e-01
1.408000000000000000e+03,9.739470483424588210e-01
1.409000000000000000e+03,9.737909418227159719e-01
1.410000000000000000e+03,9.736348353029730118e-01
1.411000000000000000e+03,9.734787287832301628e-01
1.412000000000000000e+03,9.733226222634873137e-01
1.413000000000000000e+03,9.731665157437443536e-01
1.414000000000000000e+03,9.730104092240015046e-01
1.415000000000000000e+03,9.728543027042586555e-01
1.416000000000000000e+03,9.726981961845156954e-01
1.417000000000000000e+03,9.725420896647728464e-01
1.418000000000000000e+03,9.723859831450299973e-01
1.419000000000000000e+03,9.722298766252871483e-01
1.420000000000000000e+03,9.720737701055441882e-01
1.421000000000000000e+03,9.719176635858013391e-01
1.422000000000000000e+03,9.717615570660584901e-01
1.423000000000000000e+03,9.716054505463155300e-01
1.424000000000000000e+03,9.714493440265726809e-01
1.425000000000000000e+03,9.712932375068298319e-01
1.426000000000000000e+03,9.711371309870869828e-01
1.427000000000000000e+03,9.709810244673440227e-01
1.428000000000000000e+03,9.708249179476011737e-01
1.429000000000000000e+03,9.706688114278583246e-01
1.430000000000000000e+03,9.705127049081153645e-01
1.431000000000000000e+03,9.703147602618036327e-01
1.432000000000000000e+03,9.699520421718127450e-01
1.433000000000000000e+03,9.695893240818219683e-01
1.434000000000000000e+03,9.692266059918311916e-01
1.435000000000000000e+03,9.688638879018403038e-01
1.436000000000000000e+03,9.685011698118495271e-01
1.437000000000000000e+03,9.681384517218586394e-01
1.438000000000000000e+03,9.677757336318678627e-01
1.439000000000000000e+03,9.674130155418770860e-01
1.440000000000000000e+03,9.670502974518861983e-01
1.441000000000000000e+03,9.666875793618954216e-01
1.442000000000000000e+03,9.663248612719046449e-01
1.443000000000000000e+03,9.659621431819137571e-01
1.444000000000000000e+03,9.655994250919229804e-01
1.445000000000000000e+03,9.652367070019320927e-01
1.446000000000000000e+03,9.648739889119413160e-01
1.447000000000000000e+03,9.645112708219505393e-01
1.448000000000000000e+03,9.641485527319596516e-01
1.449000000000000000e+03,9.637858346419688749e-01
1.450000000000000000e+03,9.634231165519780982e-01
1.451000000000000000e+03,9.630603984619872104e-01
1.452000000000000000e+03,9.626976803719964337e-01
1.453000000000000000e+03,9.623349622820055460e-01
1.454000000000000000e+03,9.619722441920147693e-01
1.455000000000000000e+03,9.616095261020239926e-01
1.456000000000000000e+03,9.612322888448220359e-01
1.457000000000000000e+03,9.608328398090093536e-01
1.458000000000000000e+03,9.604333907731966713e-01
1.459000000000000000e+03,9.600339417373839890e-01
1.460000000000000000e+03,9.596344927015713067e-01
1.461000000000000000e+03,9.592350436657586243e-01
1.462000000000000000e+03,9.588355946299459420e-01
1.463000000000000000e+03,9.584361455941332597e-01
1.464000000000000000e+03,9.580366965583205774e-01
1.465000000000000000e+03,9.576372475225078951e-01
1.466000000000000000e+03,9.572377984866952128e-01
1.467000000000000000e+03,9.568383494508826415e-01
1.468000000000000000e+03,9.564389004150699591e-01
1.469000000000000000e+03,9.560394513792572768e-01
1.470000000000000000e+03,9.556400023434445945e-01
1.471000000000000000e+03,9.552405533076319122e-01
1.472000000000000000e+03,9.548411042718192299e-01
1.473000000000000000e+03,9.544416552360065475e-01
1.474000000000000000e+03,9.540422062001938652e-01
1.475000000000000000e+03,9.536427571643811829e-01
1.476000000000000000e+03,9.532433081285685006e-01
1.477000000000000000e+03,9.528438590927558183e-01
1.478000000000000000e+03,9.524444100569431360e-01
1.479000000000000000e+03,9.520449610211305647e-01
1.480000000000000000e+03,9.516455119853178823e-01
