wavelength_nm,intensity_norm
1.296000000000000000e+03,7.458266715696921789e-01
1.297000000000000000e+03,7.454240812788558435e-01
1.298000000000000000e+03,7.450214909880195080e-01
1.299000000000000000e+03,7.446189006971831725e-01
1.300000000000000000e+03,7.438184414159058067e-01
1.301000000000000000e+03,7.430132608342331357e-01
1.302000000000000000e+03,7.422080802525605758e-01
1.303000000000000000e+03,7.414028996708879049e-01
1.304000000000000000e+03,7.405977190892153450e-01
1.305000000000000000e+03,7.397925385075426741e-01
1.306000000000000000e+03,7.389873579258700032e-01
1.307000000000000000e+03,7.381821773441974432e-01
1.308000000000000000e+03,7.373769967625247723e-01
1.309000000000000000e+03,7.365718161808521014e-01
1.310000000000000000e+03,7.357666355991795415e-01
1.311000000000000000e+03,7.349614550175068706e-01
1.312000000000000000e+03,7.341562744358341996e-01
1.313000000000000000e+03,7.333510938541616397e-01
1.314000000000000000e+03,7.325459132724889688e-01
1.315000000000000000e+03,7.317407326908164089e-01
1.316000000000000000e+03,7.309355521091437380e-01
1.317000000000000000e+03,7.301303715274710671e-01
1.318000000000000000e+03,7.293251909457985072e-01
1.319000000000000000e+03,7.285200103641258362e-01
1.320000000000000000e+03,7.277148297824531653e-01
1.321000000000000000e+03,7.269096492007806054e-01
1.322000000000000000e+03,7.261044686191079345e-01
1.323000000000000000e+03,7.252992880374353746e-01
1.324000000000000000e+03,7.244941074557627037e-01
1.325000000000000000e+03,7.236889268740900327e-01
1.326000000000000000e+03,7.227551136845523638e-01
1.327000000000000000e+03,7.217710040847302722e-01
1.328000000000000000e+03,7.207868944849081805e-01
1.329000000000000000e+03,7.198027848850860888e-01
1.330000000000000000e+03,7.188186752852639971e-01
1.331000000000000000e+03,7.178345656854417944e-01
1.332000000000000000e+03,7.168504560856197028e-01
1.333000000000000000e+03,7.158663464857976111e-01
1.334000000000000000e+03,7.148822368859755194e-01
1.335000000000000000e+03,7.138981272861534277e-01
1.336000000000000000e+03,7.129140176863313361e-01
1.337000000000000000e+03,7.119299080865092444e-01
1.338000000000000000e+03,7.109457984866871527e-01
1.339000000000000000e+03,7.099616888868650610e-01
1.340000000000000000e+03,7.089775792870429694e-01
1.341000000000000000e+03,7.079934696872208777e-01
1.342000000000000000e+03,7.070093600873987860e-01
1.343000000000000000e+03,7.060252504875766943e-01
1.344000000000000000e+03,7.050411408877546027e-01
1.345000000000000000e+03,7.040570312879325110e-01
1.346000000000000000e+03,7.030729216881103083e-01
1.347000000000000000e+03,7.020888120882882166e-01
1.348000000000000000e+03,7.001066141055265479e-01
1.349000000000000000e+03,6.979167365699657788e-01
1.350000000000000000e+03,6.957268590344051207e-01
1.351000000000000000e+03,6.935369814988443515e-01
1.352000000000000000e+03,6.913471039632835824e-01
1.353000000000000000e+03,6.891572264277229243e-01
1.354000000000000000e+03,6.869673488921621551e-01
1.355000000000000000e+03,6.847774713566013860e-01
1.356000000000000000e+03,6.825875938210407279e-01
1.357000000000000000e+03,6.803977162854799587e-01
1.358000000000000000e+03,6.782078387499191896e-01
1.359000000000000000e+03,6.760179612143585315e-01
1.360000000000000000e+03,6.738280836787977623e-01
1.361000000000000000e+03,6.716382061432369932e-01
1.362000000000000000e+03,6.694483286076763351e-01
1.363000000000000000e+03,6.672584510721155659e-01
1.364000000000000000e+03,6.650685735365549078e-01
1.365000000000000000e+03,6.628786960009941387e-01
1.366000000000000000e+03,6.606888184654333696e-01
1.367000000000000000e+03,6.584989409298727114e-01
1.368000000000000000e+03,6.563090633943119423e-01
1.369000000000000000e+03,6.536366652734958427e-01
1.370000000000000000e+03,6.508952171025628175e-01
1.371000000000000000e+03,6.481537689316297923e-01
1.372000000000000000e+03,6.454123207606967672e-01
1.373000000000000000e+03,6.426708725897637420e-01
1.374000000000000000e+03,6.399294244188307168e-01
1.375000000000000000e+03,6.371879762478975806e-01
1.376000000000000000e+03,6.344465280769645554e-01
1.377000000000000000e+03,6.317050799060315303e-01
1.378000000000000000e+03,6.289636317350985051e-01
1.379000000000000000e+03,6.262221835641654799e-01
1.380000000000000000e+03,6.234807353932324547e-01
1.381000000000000000e+03,6.207392872222994296e-01
1.382000000000000000e+03,6.179978390513662934e-01
1.383000000000000000e+03,6.152563908804332682e-01
1.384000000000000000e+03,6.125149427095002430e-01
1.385000000000000000e+03,6.097734945385672178e-01
1.386000000000000000e+03,6.077569691224758985e-01
1.387000000000000000e+03,6.070186298406866632e-01
1.388000000000000000e+03,6.062802905588974278e-01
1.389000000000000000e+03,6.055419512771083035e-01
1.390000000000000000e+03,6.048036119953190681e-01
1.391000000000000000e+03,6.040652727135298328e-01
1.392000000000000000e+03,6.033269334317405974e-01
1.393000000000000000e+03,6.025885941499513621e-01
1.394000000000000000e+03,6.018502548681621267e-01
1.395000000000000000e+03,6.011119155863728913e-01
1.396000000000000000e+03,6.003735763045837670e-01
1.397000000000000000e+03,5.996352370227945316e-01
1.398000000000000000e+03,5.988968977410052963e-01
1.399000000000000000e+03,5.981585584592160609e-01
1.400000000000000000e+03,5.974202191774268256e-01
1.401000000000000000e+03,5.966818798956375902e-01
1.402000000000000000e+03,5.959435406138483549e-01
1.403000000000000000e+03,5.952052013320591195e-01
1.404000000000000000e+03,5.944668620502699952e-01
1.405000000000000000e+03,5.937285227684807598e-01
1.406000000000000000e+03,5.929901834866915245e-01
1.407000000000000000e+03,5.922518442049022891e-01
1.408000000000000000e+03,5.915135049231130537e-01
1.409000000000000000e+03,5.907751656413238184e-01
1.410000000000000000e+03,5.900368263595345830e-01
1.411000000000000000e+03,5.892984870777454587e-01
1.412000000000000000e+03,5.885601477959562233e-01
1.413000000000000000e+03,5.878971002439058458e-01
1.414000000000000000e+03,5.876465996184965235e-01
1.415000000000000000e+03,5.873960989930873122e-01
1.416000000000000000e+03,5.871455983676779899e-01
1.417000000000000000e+03,5.868950977422686677e-01
1.418000000000000000e+03,5.866445971168594564e-01
1.419000000000000000e+03,5.863940964914501341e-01
1.420000000000000000e+03,5.861435958660408119e-01
1.421000000000000000e+03,5.858930952406316006e-01
1.422000000000000000e+03,5.856425946152222783e-01
1.423000000000000000e+03,5.853920939898130671e-01
1.424000000000000000e+03,5.851415933644037448e-01
1.425000000000000000e+03,5.848910927389944225e-01
1.426000000000000000e+03,5.846405921135852113e-01
1.427000000000000000e+03,5.843900914881758890e-01
1.428000000000000000e+03,5.841395908627665667e-01
1.429000000000000000e+03,5.838890902373573555e-01
1.430000000000000000e+03,5.836385896119480332e-01
1.431000000000000000e+03,5.833880889865388220e-01
1.432000000000000000e+03,5.831375883611294997e-01
1.433000000000000000e+03,5.828870877357201774e-01
1.434000000000000000e+03,5.826365871103109662e-01
1.435000000000000000e+03,5.823860864849016439e-01
1.436000000000000000e+03,5.821355858594923216e-01
1.437000000000000000e+03,5.818179925926321161e-01
1.438000000000000000e+03,5.806618358599739960e-01
1.439000000000000000e+03,5.795056791273158758e-01
1.440000000000000000e+03,5.783495223946577557e-01
1.441000000000000000e+03,5.771933656619996356e-01
1.442000000000000000e+03,5.760372089293415154e-01
1.443000000000000000e+03,5.748810521966833953e-01
1.444000000000000000e+03,5.737248954640252752e-01
1.445000000000000000e+03,5.725687387313671550e-01
1.446000000000000000e+03,5.714125819987090349e-01
1.447000000000000000e+03,5.702564252660510258e-01
1.448000000000000000e+03,5.691002685333929056e-01
1.449000000000000000e+03,5.688543281462485890e-01
1.450000000000000000e+03,5.690160109939740307e-01
1.451000000000000000e+03,5.691776938416994724e-01
1.452000000000000000e+03,5.693393766894249142e-01
1.453000000000000000e+03,5.695010595371504669e-01
1.454000000000000000e+03,5.696627423848759086e-01
1.455000000000000000e+03,5.698244252326013504e-01
1.456000000000000000e+03,5.699861080803267921e-01
1.457000000000000000e+03,5.701477909280522338e-01
1.458000000000000000e+03,5.703094737757776755e-01
1.459000000000000000e+03,5.704711566235031173e-01
1.460000000000000000e+03,5.706328394712285590e-01
1.461000000000000000e+03,5.707945223189540007e-01
1.462000000000000000e+03,5.709562051666794424e-01
1.463000000000000000e+03,5.711178880144048842e-01
1.464000000000000000e+03,5.712795708621303259e-01
1.465000000000000000e+03,5.714412537098557676e-01
1.466000000000000000e+03,5.716029365575812093e-01
1.467000000000000000e+03,5.696026936534429597e-01
1.468000000000000000e+03,5.656151326775403776e-01
1.469000000000000000e+03,5.616275717016379065e-01
1.470000000000000000e+03,5.576400107257353245e-01
1.471000000000000000e+03,5.536524497498328534e-01
1.472000000000000000e+03,5.496648887739303824e-01
1.473000000000000000e+03,5.456773277980278003e-01
1.474000000000000000e+03,5.416897668221253292e-01
1.475000000000000000e+03,5.406145022572534931e-01
1.476000000000000000e+03,5.400167166738905067e-01
1.477000000000000000e+03,5.394189310905274093e-01
1.478000000000000000e+03,5.388211455071644229e-01
1.479000000000000000e+03,5.382233599238013255e-01
1.480000000000000000e+03,5.376255743404383391e-01
